fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;5,6m - 7,6m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;7,6m - 12,5m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;12,5m - 16,0m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;16,0m - 24,0m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 24,0m;Siste 12 måneder;0,000;0,000;0;0
